concentrations,cqs
200,30.99
200,30.84
200,30.73
100,31.98
100,31.68
100,31.69
50,33.27
50,32.83
50,33.01
25,33.51
25,33.15
25,33.83
12.5,35.36
12.5,34.64
12.5,35.09
6.25,36.09
6.25,36.05
6.25,36
3.125,37.34
3.125,36.23
3.125,38.36
1.5625,38.22
1.5625,36.5
1.5625,37.63
1.5625,37.61
1.5625,37.17
1.5625,37.21
0.7813,ND
0.7813,ND
0.7813,ND
0.7813,36.2
0.7813,ND
0.7813,38.25
0.3906,39.15
0.3906,ND
0.3906,ND
0.3906,ND
0.3906,ND
0.3906,38.13
0.1953,ND
0.1953,ND
0.1953,ND
0.1953,ND
0.1953,39.17
0.1953,ND
0.0977,ND
0.0977,ND
0.0977,ND
0.0977,ND
0.0977,ND
0.0977,ND